Phase2_TAZ,CBM18_TAZ
9,1
8,2
14,3
19,4
3,5
1,6
4,7
10,8
21,9
17,10
23,11
24,12
26,13
37,14
87,15
101,16
28,17
30,18
34,19
36,20
46,21
32,22
33,23
63,24
72,25
65,26
59,27
62,28
66,29
84,30
96,31
93,32
88,33
83,34
99,35
103,36
105,37
98,38
51,39
54,40
57,41
49,42
55,43
68,44
74,45
78,46
73,47
80,48
89,49
90,50
94,51
39,52
42,53
48,54
64,55
75,56
77,57
86,58
92,59
45,60
50,61
53,62
69,63
70,64
82,65
91,66
47,67
60,68
106,69
107,70
113,71
114,72
119,73
132,74
148,75
112,76
115,77
118,78
122,79
131,80
127,81
143,82
108,83
111,84
116,85
117,86
121,87
120,88
125,89
133,90
154,91
164,92
171,93
146,94
150,95
158,96
163,97
167,98
170,99
126,100
129,101
137,102
142,103
141,104
147,105
145,106
151,107
152,108
155,109
156,110
157,111
160,112
166,113
140,114
138,115
144,116
153,117
159,118
168,119
165,120
174,121
186,122
193,123
178,124
182,125
187,126
173,127
177,128
181,129
188,130
194,131
185,132
191,133
190,134
189,135
195,136
183,137
203,138
202,139
207,140
208,141
212,142
213,143
220,144
200,145
200,146
211,147
214,148
221,149
198,150
209,151
222,152
233,153
243,154
250,155
252,156
255,157
257,158
258,159
265,160
263,161
267,162
273,163
205,164
239,165
256,166
268,167
270,168
234,169
237,170
259,171
218,172
224,173
225,174
228,175
232,176
242,177
241,178
226,179
230,180
238,181
246,182
283,183
289,184
278,185
279,186
284,187
323,188
350,189
366,190
366,191
315,192
331,193
362,194
324,195
343,196
360,197
309,198
354,199
296,200
317,201
332,202
337,203
347,204
351,205
364,206
299,207
312,208
322,209
330,210
329,211
341,212
352,213
357,214
363,215
301,216
307,217
316,218
328,219
333,220
345,221
353,222
361,223
359,224
298,225
304,226
310,227
313,228
321,229
320,230
325,231
327,232
336,233
346,234
348,235
297,236
305,237
302,238
314,239
326,240
339,241
349,242
375,243
387,244
395,245
405,246
410,247
417,248
420,249
424,250
433,251
444,252
378,253
370,254
377,255
388,256
399,257
398,258
402,259
414,260
416,261
421,262
428,263
435,264
367,265
384,266
397,267
365,268
389,269
392,270
404,271
425,272
311,273
319,274
334,275
355,276
368,277
383,278
401,279
403,280
412,281
422,282
436,283
340,284
358,285
373,286
382,287
393,288
415,289
418,290
431,291
448,292
471,293
492,294
505,295
453,296
497,297
442,298
457,299
473,300
489,301
502,302
437,303
454,304
461,305
490,306
488,307
503,308
508,309
515,310
516,311
519,312
456,313
475,314
487,315
500,316
512,317
518,318
447,319
466,320
484,321
498,322
511,323
459,324
496,325
509,326
458,327
479,328
474,329
483,330
451,331
491,332
450,333
449,334
462,335
480,336
494,337
452,338
469,339
476,340
495,341
506,342
374,343
369,344
380,345
391,346
385,347
394,348
406,349
413,350
419,351
426,352
434,353
376,354
386,355
408,356
423,357
432,358
441,359
439,360
532,361
520,362
522,363
525,364
533,365
534,366
549,367
551,368
563,369
574,370
577,371
589,372
524,373
530,374
538,375
548,376
541,377
550,378
560,379
562,380
573,381
569,382
580,383
528,384
526,385
535,386
542,387
558,388
557,389
570,390
568,391
584,392
585,393
587,394
523,395
531,396
537,397
543,398
554,399
588,400
565,401
572,402
583,403
592,404
591,405
603,406
594,407
595,408
601,409
602,410
608,411
597,412
604,413
610,414
607,415
600,416
605,417
611,418
616,419
621,420
606,421
614,422
609,423
615,424
620,425
618,426
622,427
624,428
527,429
553,430
576,431
593,432
529,433
552,434
579,435
596,436
521,437
539,438
564,439
590,440
638,441
628,442
630,443
634,444
631,445
637,446
643,447
644,448
649,449
629,450
633,451
642,452
640,453
646,454
654,455
653,456
639,457
641,458
645,459
652,460
651,461
650,462
662,463
672,464
655,465
660,466
658,467
661,468
666,469
668,470
674,471
677,472
688,473
659,474
663,475
671,476
656,477
665,478
673,479
681,480
678,481
683,482
691,483
693,484
697,485
679,486
684,487
692,488
699,489
703,490
670,491
682,492
689,493
690,494
694,495
702,496
704,497
686,498
700,499
696,500
701,501
706,502
710,503
705,504
713,505
712,506
711,507
714,508
719,509
725,510
723,511
727,512
732,513
721,514
718,515
726,516
728,517
730,518
731,519
717,520
734,521
735,522
739,523
741,524
742,525
744,526
746,527
748,528
749,529
750,530
754,531
763,532
769,533
784,534
796,535
822,536
751,537
753,538
776,539
783,540
794,541
804,542
807,543
819,544
755,545
760,546
756,547
757,548
767,549
765,550
782,551
758,552
762,553
766,554
771,555
774,556
787,557
790,558
793,559
803,560
802,561
770,562
777,563
791,564
795,565
797,566
816,567
801,568
809,569
805,570
814,571
824,572
820,573
831,574
830,575
838,576
849,577
836,578
844,579
846,580
854,581
843,582
855,583
859,584
845,585
852,586
781,587
788,588
798,589
810,590
828,591
792,592
808,593
818,594
832,595
800,596
815,597
835,598
806,599
826,600
823,601
833,602
841,603
840,604
850,605
853,606
856,607
860,608
861,609
851,610
857,611
862,612
863,613
874,614
889,615
916,616
932,617
953,618
1066,619
969,620
1016,621
1040,622
1064,623
1063,624
1099,625
1154,626
1190,627
978,628
993,629
998,630
1013,631
1039,632
1031,633
1061,634
1073,635
1096,636
1104,637
1115,638
1022,639
1038,640
1046,641
1045,642
1067,643
1085,644
1070,645
1086,646
1113,647
1114,648
1151,649
1142,650
1161,651
1182,652
1208,653
865,654
866,655
867,656
869,657
868,658
875,659
887,660
870,661
871,662
872,663
878,664
873,665
881,666
876,667
877,668
884,669
890,670
893,671
914,672
913,673
924,674
926,675
949,676
906,677
907,678
922,679
921,680
951,681
929,682
945,683
957,684
970,685
992,686
939,687
950,688
958,689
984,690
962,691
979,692
1001,693
1017,694
1041,695
1069,696
1095,697
931,698
946,699
955,700
968,701
966,702
980,703
987,704
1020,705
1071,706
1068,707
1092,708
1074,709
1080,710
1105,711
1121,712
1150,713
1187,714
1185,715
1102,716
1123,717
1148,718
1149,719
1184,720
1100,721
1119,722
1158,723
1137,724
1157,725
1172,726
1103,727
1111,728
1136,729
1153,730
1156,731
1171,732
1201,733
880,734
885,735
888,736
892,737
896,738
886,739
891,740
902,741
897,742
908,743
918,744
920,745
923,746
928,747
943,748
948,749
956,750
959,751
905,752
904,753
947,754
961,755
960,756
976,757
1000,758
1021,759
1047,760
972,761
985,762
1009,763
1035,764
1060,765
983,766
1010,767
1026,768
1042,769
1062,770
975,771
994,772
1008,773
1030,774
1101,775
1122,776
1126,777
1141,778
1139,779
1160,780
1155,781
1166,782
1199,783
1181,784
1081,785
1112,786
1110,787
1140,788
1159,789
1180,790
1178,791
1072,792
1088,793
1116,794
1145,795
1177,796
1175,797
837,798
894,799
900,800
903,801
910,802
917,803
919,804
938,805
937,806
942,807
938,808
912,809
925,810
963,811
964,812
982,813
997,814
988,815
1015,816
1011,817
1032,818
1056,819
1053,820
1055,821
1058,822
1033,823
1037,824
1059,825
1048,826
1051,827
1050,828
1024,829
1057,830
1034,831
1054,832
1079,833
1108,834
1144,835
1179,836
1075,837
1118,838
1117,839
1107,840
1143,841
1163,842
1197,843
1169,844
1173,845
1207,846
1078,847
1106,848
1134,849
1170,850
1210,851
1090,852
1132,853
1168,854
1204,855
1211,856
1089,857
1133,858
1130,859
1167,860
1206,861
1212,862
1087,863
1131,864
1198,865
1213,866
1094,867
1164,868
941,869
967,870
965,871
991,872
1003,873
1014,874
927,875
934,876
954,877
981,878
1002,879
1012,880
1084,881
1120,882
1165,883
1203,884
1083,885
1128,886
1194,887
1193,888
1082,889
1129,890
1192,891
1191,892
1097,893
1093,894
1186,895
1196,896
1188,897
1174,898
1215,899
1217,900
1216,901
1220,902
1227,903
1231,904
1252,905
1251,906
1270,907
1286,908
1295,909
1309,910
1310,911
1323,912
1321,913
1340,914
1221,915
1232,916
1259,917
1281,918
1291,919
1219,920
1225,921
1290,922
1293,923
1306,924
1315,925
1338,926
1327,927
1350,928
1369,929
1301,930
1320,931
1319,932
1337,933
1336,934
1349,935
1356,936
1365,937
1308,938
1307,939
1325,940
1324,941
1345,942
1363,943
1368,944
1304,945
1346,946
1364,947
1398,948
1393,949
1389,950
1375,951
1384,952
1399,953
1387,954
1383,955
1394,956
1224,957
1226,958
1243,959
1241,960
1264,961
1263,962
1284,963
1230,964
1266,965
1276,966
1294,967
1317,968
1318,969
1326,970
1334,971
1335,972
1341,973
1351,974
1361,975
1367,976
1371,977
1288,978
1300,979
1316,980
1333,981
1332,982
1352,983
1358,984
1373,985
1370,986
1376,987
1382,988
1395,989
1392,990
1223,991
1228,992
1237,993
1245,994
1272,995
1271,996
1233,997
1250,998
1269,999
1247,1000
1257,1001
1278,1002
1287,1003
1296,1004
1298,1005
1297,1006
1256,1007
1265,1008
1285,1009
1299,1010
1258,1011
1277,1012
1267,1013
1283,1014
1262,1015
1282,1016
1311,1017
1314,1018
1331,1019
1339,1020
1342,1021
1362,1022
1348,1023
1328,1024
1322,1025
1354,1026
1357,1027
1353,1028
1366,1029
1372,1030
1374,1031
1380,1032
1379,1033
1396,1034
1397,1035
1406,1036
1405,1037
1403,1038
1402,1039
1404,1040
1385,1041
1386,1042
1423,1043
1424,1044
1430,1045
1428,1046
1437,1047
1448,1048
1462,1049
1427,1050
1433,1051
1434,1052
1438,1053
1439,1054
1449,1055
1451,1056
1460,1057
1461,1058
1414,1059
1426,1060
1435,1061
1442,1062
1447,1063
1453,1064
1457,1065
1431,1066
1446,1067
1443,1068
1492,1069
1483,1070
1496,1071
1479,1072
1499,1073
1482,1074
1497,1075
1508,1076
1517,1077
1516,1078
1524,1079
1532,1080
1533,1081
1534,1082
1540,1083
1541,1084
1546,1085
1553,1086
1551,1087
1511,1088
1510,1089
1523,1090
1521,1091
1544,1092
1542,1093
1550,1094
1549,1095
1556,1096
1421,1097
1415,1098
1410,1099
1418,1100
1429,1101
1408,1102
1411,1103
1412,1104
1413,1105
1419,1106
1425,1107
1454,1108
1458,1109
1464,1110
1465,1111
1469,1112
1409,1113
1416,1114
1444,1115
1440,1116
1455,1117
1468,1118
1467,1119
1481,1120
1478,1121
1494,1122
1477,1123
1475,1124
1501,1125
1502,1126
